placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Ezreal_item2,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_Kayn,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_LeeSin_item2,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nidalee_item1,TFT7_Nidalee_item2,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Sejuani_item1,TFT7_Sejuani_item2,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Senna_item2,TFT7_Sett,TFT7_Sett_item0,TFT7_Sett_item1,TFT7_Sett_item2,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Skarner_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,TFT7_Twitch_item2,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2
2,NA1_4380643562,TFT7_Augment_BruiserTitanicStrength,TFT6_Augment_Distancing,TFT7_Augment_TomeOfTraits2,1.0,0.0,,2.0,,2.0,,,,,2.0,,,0.0,,,0.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FrozenHeart,LocketOfTheIronSolari,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,RabadonsDeathcap,,,,,,,,,,,,,,,,,,,,,,,3.0,ArchangelsStaff,BruiserEmblemItem,IonicSpark,,,,,,,,,,,,,,,,,,,,,3.0,RunaansHurricane,Quicksilver,GuinsoosRageblade,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,ScalescornEmblemItem,TitansResolve,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NA1_4380643562,TFT7_Augment_MirageEmblem,TFT6_Augment_Distancing,TFT6_Augment_MakeshiftArmor3,,,,,,3.0,1.0,0.0,,1.0,1.0,,,0.0,3.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,StatikkShiv,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,GiantsBelt,TitansResolve,2.0,,,,,,,,,,,,,,,,,,,,3.0,WarmogsArmor,GuardianEmblemItem,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
8,NA1_4380643562,TFT7_Augment_ShimmerscaleTrait,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_HighEndShopping,0.0,,1.0,,0.0,,1.0,,0.0,0.0,1.0,,,0.0,,0.0,0.0,1.0,,,3.0,1.0,,,,,0.0,,2.0,ShimmerscaleDeterminedInvestor,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,Deathblade,ShimmerscaleDravensAxe,,,,,,,,,,2.0,ShimmerscaleMogulsMail,WarmogsArmor,ChainVest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ShimmerscaleGoldmancersStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ChainVest,RabadonsDeathcap,JeweledGauntlet
5,NA1_4380643562,TFT7_Augment_BruiserTitanicStrength,TFT6_Augment_Electrocharge1,TFT7_Augment_BestFriends3,1.0,,,2.0,,,1.0,,,,,0.0,0.0,0.0,,,0.0,,,1.0,,,,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RunaansHurricane,UnstableConcoction,AssassinEmblemItem,2.0,GuinsoosRageblade,Bloodthirster,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Morellonomicon,,,,,,,,,,,,,,,2.0,,,,1.0,SeraphsEmbrace,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NA1_4380643562,TFT6_Augment_ClearMind,TFT6_Augment_Weakspot,TFT6_Augment_CelestialBlessing3,,1.0,,2.0,,,,,,,,,0.0,1.0,,0.0,,,,,0.0,1.0,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LastWhisper,RecurveBow,,,,,,,,,,,,,,,,,,1.0,Shroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,,,,,,,,,,,,,,,2.0,TitansResolve,Quicksilver,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,3.0,GuinsoosRageblade,MadredsBloodrazor,RunaansHurricane,,,,,,,,,,,,,,,,,,,,,1.0,,,
6,NA1_4380643562,TFT7_Augment_SwiftshotPressTheAttack,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_BestFriends3,0.0,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BrambleVest,Shroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ArchangelsStaff,TearOfTheGoddess,,,,,,,,,,,,,,,,,,,,,,1.0,ThiefsGloves,RunaansHurricane,MadredsBloodrazor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,1.0,,,,3.0,Deathblade,Quicksilver,GuinsoosRageblade,2.0,,,,,,,,,,,,,,,,,,,,,,,
3,NA1_4380643562,TFT6_Augment_ClearMind,TFT7_Augment_BandOfThieves1,TFT6_Augment_Diversify3,,0.0,1.0,1.0,,,1.0,,0.0,,1.0,,0.0,1.0,,2.0,,,,,,,,,2.0,1.0,,0.0,,,,,,,,,1.0,SpearOfShojin,RabadonsDeathcap,GuinsoosRageblade,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,,,3.0,ThiefsGloves,ZekesHerald,RapidFireCannon,,,,,,,,,,,,,,,,,2.0,TitanicHydra,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,IonicSpark,RedBuff,,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NA1_4380643562,TFT7_Augment_MikaelsGift,TFT6_Augment_CyberneticShell1,TFT7_Augment_MageEmblem2,,0.0,1.0,1.0,,,1.0,,0.0,,1.0,,0.0,2.0,,2.0,,,,,0.0,1.0,,,2.0,1.0,,0.0,,,,,,,,,1.0,ArchangelsStaff,SpearOfShojin,MageEmblemItem,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,ZekesHerald,Chalice,PowerGauntlet,,,,,,,,,,,,,,,,,2.0,FrozenHeart,DragonsClaw,Morellonomicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,StatikkShiv,SpearOfShojin,,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Quicksilver,ZekesHerald,
6,NA1_4379852668,TFT7_Augment_Preparation2,TFT6_Augment_TinyTitans,TFT6_Augment_PortableForge,,0.0,,,,,1.0,0.0,,,,1.0,,,,,1.0,,,3.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,JadeEmblemItem,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,IonicSpark,,3.0,Quicksilver,GuinsoosRageblade,OrnnInfinityForce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bloodthirster,ArchangelsStaff,TitansResolve,,,,,,,,,,,,,2.0,Zephyr,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NA1_4379852668,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_ItemGrabBag1,TFT7_Augment_AssassinEmblem,3.0,,,1.0,,2.0,,,,0.0,1.0,,,0.0,,,0.0,,2.0,,,,,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,FrozenHeart,DragonsClaw,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,AssassinEmblemItem,,,,,,,,,,,,,,,,,,,,,,,3.0,GuinsoosRageblade,AssassinEmblemItem,CavalierEmblemItem,,,,,1.0,FrozenHeart,SeraphsEmbrace,ArchangelsStaff,2.0,,,,,,,,,,,,,,,,,,,,3.0,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ZekesHerald,ZekesHerald,PowerGauntlet,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
