,feature,importance
262,remainder__TFT7_Yasuo,0.10901625711522385
211,remainder__TFT7_Bard,0.0672731119983513
255,remainder__TFT7_TrainerDragon,0.04467161419285142
237,remainder__TFT7_Ornn,0.04393826994852639
233,remainder__TFT7_Neeko,0.032914476671047736
2,cat_encoder__augment2,0.02463639091632928
0,cat_encoder__augment0,0.024533351827349524
218,remainder__TFT7_DragonPurple,0.02433516392495418
1,cat_encoder__augment1,0.02426472462057656
264,remainder__TFT7_Zoe,0.01525366289189527
217,remainder__TFT7_DragonGreen,0.014649102607032925
261,remainder__TFT7_Xayah,0.014643139925540142
248,remainder__TFT7_Soraka,0.014238206475789423
224,remainder__TFT7_Illaoi,0.013818242936741868
238,remainder__TFT7_Pyke,0.013556362900899732
252,remainder__TFT7_Talon,0.013420629327389516
236,remainder__TFT7_Olaf,0.012058150946210192
215,remainder__TFT7_DragonBlue,0.010417309627222272
222,remainder__TFT7_Hecarim,0.010385054840722966
86,cat_encoder__TFT7_Neeko_item2,0.008028176649814554
143,cat_encoder__TFT7_Talon_item2,0.007689284859441415
213,remainder__TFT7_Corki,0.007651789723266168
96,cat_encoder__TFT7_Ornn_item0,0.007470169445446154
208,remainder__TFT7_AoShin,0.0073878928122361135
245,remainder__TFT7_Shyvana,0.007355631312349421
41,cat_encoder__TFT7_DragonPurple_item2,0.007245829328469188
169,cat_encoder__TFT7_Yasuo_item0,0.006853326174041346
188,remainder__Set7_Guild,0.006621784747890392
170,cat_encoder__TFT7_Yasuo_item1,0.0057400200664867555
250,remainder__TFT7_Sylas,0.005653018154504376
141,cat_encoder__TFT7_Talon_item0,0.005643002034303428
193,remainder__Set7_Mystic,0.005634782146949846
216,remainder__TFT7_DragonGold,0.005564999332875291
249,remainder__TFT7_Swain,0.005564995454371204
97,cat_encoder__TFT7_Ornn_item1,0.0054247768670210176
142,cat_encoder__TFT7_Talon_item1,0.0051716316619487305
51,cat_encoder__TFT7_Hecarim_item0,0.005129540206633428
247,remainder__TFT7_Sona,0.0048926415103344835
135,cat_encoder__TFT7_Sylas_item0,0.004844226679338045
85,cat_encoder__TFT7_Neeko_item1,0.004725685220138512
59,cat_encoder__TFT7_Illaoi_item2,0.004568417780973123
84,cat_encoder__TFT7_Neeko_item0,0.0045025642478649704
78,cat_encoder__TFT7_Lulu_item0,0.004487045360069002
171,cat_encoder__TFT7_Yasuo_item2,0.0044628139704201856
117,cat_encoder__TFT7_Shen_item0,0.0044342659599668705
229,remainder__TFT7_Leona,0.00432270303176181
38,cat_encoder__TFT7_DragonGreen_item2,0.004319984822448657
137,cat_encoder__TFT7_Sylas_item2,0.004197557323400103
39,cat_encoder__TFT7_DragonPurple_item0,0.0041852971360653675
202,remainder__Set7_Tempest,0.003928520591004799
40,cat_encoder__TFT7_DragonPurple_item1,0.003851781462415069
205,remainder__Set7_Whispers,0.0037873160868772474
99,cat_encoder__TFT7_Pyke_item0,0.0037485259671840108
136,cat_encoder__TFT7_Sylas_item1,0.0037377913561409165
183,remainder__Set7_Cavalier,0.0036139321766112424
159,cat_encoder__TFT7_Varus_item2,0.0035555972310160264
48,cat_encoder__TFT7_Gnar_item0,0.003553096889325126
235,remainder__TFT7_Nunu,0.0035086093309013083
98,cat_encoder__TFT7_Ornn_item2,0.003483811710443534
184,remainder__Set7_Dragon,0.003473395721114054
198,remainder__Set7_Shimmerscale,0.00335412310491112
18,cat_encoder__TFT7_Bard_item0,0.003304283260513086
35,cat_encoder__TFT7_DragonGold_item2,0.003300642662764755
244,remainder__TFT7_Shen,0.0032498761116970683
178,remainder__Set7_Assassin,0.003230736940768053
29,cat_encoder__TFT7_Diana_item2,0.0032252976204077068
219,remainder__TFT7_Elise,0.003200374951413115
102,cat_encoder__TFT7_Qiyana_item0,0.003199764176182475
154,cat_encoder__TFT7_Twitch_item0,0.0031091603026084363
168,cat_encoder__TFT7_Xayah_item2,0.003052607210736112
37,cat_encoder__TFT7_DragonGreen_item1,0.0029570033942104917
231,remainder__TFT7_Lulu,0.0029556239992483014
204,remainder__Set7_Warrior,0.0029506169188967804
52,cat_encoder__TFT7_Hecarim_item1,0.002950505629568497
129,cat_encoder__TFT7_Soraka_item0,0.0029421887210999806
126,cat_encoder__TFT7_Sona_item0,0.002907924808009158
181,remainder__Set7_Bruiser,0.0029058058869457517
36,cat_encoder__TFT7_DragonGreen_item0,0.0028361875831866747
192,remainder__Set7_Mirage,0.002826179769001781
100,cat_encoder__TFT7_Pyke_item1,0.002823920502657622
185,remainder__Set7_Dragonmancer,0.0028048855793783743
239,remainder__TFT7_Qiyana,0.002767334435925352
166,cat_encoder__TFT7_Xayah_item0,0.0027521028056159804
58,cat_encoder__TFT7_Illaoi_item1,0.0027295849362941747
57,cat_encoder__TFT7_Illaoi_item0,0.002711347229152516
187,remainder__Set7_Guardian,0.0027093374843769067
92,cat_encoder__TFT7_Nunu_item2,0.0026754852242770787
189,remainder__Set7_Jade,0.002672200113370039
214,remainder__TFT7_Diana,0.002644575519072057
167,cat_encoder__TFT7_Xayah_item1,0.0026366536463786156
175,cat_encoder__TFT7_Zoe_item0,0.0025666550306402405
194,remainder__Set7_Ragewing,0.00256402135051966
260,remainder__TFT7_Volibear,0.0025636917729946972
232,remainder__TFT7_Nami,0.0024901217534718414
101,cat_encoder__TFT7_Pyke_item2,0.0024822590722367996
191,remainder__Set7_Mage,0.002462018162154782
195,remainder__Set7_Revel,0.0024558544242389378
257,remainder__TFT7_Twitch,0.0023806375456190414
127,cat_encoder__TFT7_Sona_item1,0.0023030199981322924
221,remainder__TFT7_Gnar,0.0022330009060661455
197,remainder__Set7_Shapeshifter,0.002196552559400659
81,cat_encoder__TFT7_Nami_item0,0.0021595206858516123
241,remainder__TFT7_Sejuani,0.002146460780391034
26,cat_encoder__TFT7_Corki_item2,0.002128121508978831
24,cat_encoder__TFT7_Corki_item0,0.0021034629056260884
186,remainder__Set7_Evoker,0.002059708406355789
32,cat_encoder__TFT7_DragonBlue_item2,0.00205554696770662
33,cat_encoder__TFT7_DragonGold_item0,0.002030285589489752
240,remainder__TFT7_Ryze,0.002022806678001313
25,cat_encoder__TFT7_Corki_item1,0.0020219661277242076
263,remainder__TFT7_Yone,0.0019629816722106035
34,cat_encoder__TFT7_DragonGold_item1,0.001954656897636033
8,cat_encoder__TFT7_Anivia_item2,0.0019442324948056803
201,remainder__Set7_Swiftshot,0.0019107488994029947
53,cat_encoder__TFT7_Hecarim_item2,0.0018504141306158173
79,cat_encoder__TFT7_Lulu_item1,0.0018332659059834603
207,remainder__TFT7_Anivia,0.001798780837185313
118,cat_encoder__TFT7_Shen_item1,0.0017820434880175058
7,cat_encoder__TFT7_Anivia_item1,0.0017442085215837397
122,cat_encoder__TFT7_Shyvana_item2,0.0016935224669505148
90,cat_encoder__TFT7_Nunu_item0,0.0016875890904074734
230,remainder__TFT7_Lillia,0.0016867116219129862
228,remainder__TFT7_LeeSin,0.001685010823830953
6,cat_encoder__TFT7_Anivia_item0,0.0016821924136734667
254,remainder__TFT7_Thresh,0.0016758288606792656
128,cat_encoder__TFT7_Sona_item2,0.001663903801647381
108,cat_encoder__TFT7_Sejuani_item0,0.0016568293649136515
12,cat_encoder__TFT7_Ashe_item0,0.0016160706170541372
21,cat_encoder__TFT7_Braum_item0,0.0016020820944011563
82,cat_encoder__TFT7_Nami_item1,0.0016015709261838168
31,cat_encoder__TFT7_DragonBlue_item1,0.0015595868470325124
30,cat_encoder__TFT7_DragonBlue_item0,0.0015519830910732868
120,cat_encoder__TFT7_Shyvana_item0,0.0015393039377164172
176,cat_encoder__TFT7_Zoe_item1,0.0015377459057930732
42,cat_encoder__TFT7_Elise_item0,0.0015376126414847298
91,cat_encoder__TFT7_Nunu_item1,0.0015097906884423856
147,cat_encoder__TFT7_Thresh_item0,0.0015089437563077384
69,cat_encoder__TFT7_LeeSin_item0,0.0014434878421350182
158,cat_encoder__TFT7_Varus_item1,0.001442838136044325
151,cat_encoder__TFT7_Tristana_item0,0.0014083133906419906
83,cat_encoder__TFT7_Nami_item2,0.0013897767911597262
11,cat_encoder__TFT7_AoShin_item2,0.0013880334341896167
95,cat_encoder__TFT7_Olaf_item2,0.0013846095800454327
121,cat_encoder__TFT7_Shyvana_item1,0.0013795567080470412
28,cat_encoder__TFT7_Diana_item1,0.00131102243952513
157,cat_encoder__TFT7_Varus_item0,0.0013090117387214123
103,cat_encoder__TFT7_Qiyana_item1,0.0012853005732054586
155,cat_encoder__TFT7_Twitch_item1,0.0012731076865038445
94,cat_encoder__TFT7_Olaf_item1,0.0012630877816061426
27,cat_encoder__TFT7_Diana_item0,0.0012617594365464497
93,cat_encoder__TFT7_Olaf_item0,0.0012477412283934252
10,cat_encoder__TFT7_AoShin_item1,0.0012472717465112726
209,remainder__TFT7_Ashe,0.0012100286943001405
75,cat_encoder__TFT7_Lillia_item0,0.0012046623291130155
226,remainder__TFT7_Karma,0.0011607488264470903
89,cat_encoder__TFT7_Nidalee_item2,0.001153481871178677
63,cat_encoder__TFT7_Karma_item0,0.0011398326215712397
